"Actual","predicted"
18,15.1999999999999
15,14.9250000000003
18,14.7045454545456
16,14.7045454545456
17,16.3428571428571
15,13.5000000000001
14,14.0000000000002
14,12.3333333333335
14,13.3333333333334
15,14.5000000000001
15,14.5
14,13
15,14.7045454545456
14,13.3333333333334
24,22.1142857142857
22,22.1142857142857
18,22.1222222222222
21,23.4666666666667
27,25.0789473684211
26,26
25,23.0000000000002
24,24.355
25,22.1142857142857
26,25.9999999999999
21,24.355
10,12.3333333333335
10,10.0000000000002
11,11.0000000000002
9,8.99999999999941
27,25.0789473684211
28,24.355
25,22.1142857142857
25,27.9999999999999
19,19.5941176470586
16,20.5
17,19.5941176470586
19,25.0789473684211
18,19.5941176470586
14,14.9250000000003
14,13.4000000000001
14,14.0000000000001
14,14.7045454545456
12,13.4999999999999
13,14.5
13,13.4000000000001
18,19.8333333333333
22,21.9833333333334
19,19.5941176470586
18,25.0789473684211
23,24.2
28,24.355
30,32.475
30,31.05
31,35.48
35,32.7666666666667
27,32.16
26,32.475
24,22.1142857142857
25,28.6
23,23
20,24.355
21,24.2
13,14.9250000000003
14,13.4000000000001
15,14.7045454545456
14,14.0000000000001
17,14.7045454545456
11,11.0000000000003
13,14.95
12,13
13,14.5000000000001
19,22.1222222222222
15,14.7045454545456
13,15.1999999999999
13,16.3428571428571
14,14.7045454545456
18,19.6666666666668
22,31.05
21,23.0000000000002
26,32.7666666666667
22,24.2
28,27.6333333333333
23,22.1222222222222
28,28.6
27,25.0789473684211
13,13.4000000000001
14,14.7045454545456
13,15.4571428571428
14,13.9999999999996
15,14.7045454545456
12,13.5000000000001
13,14.7045454545456
13,13.0000000000003
14,14.7045454545456
13,12.3333333333335
12,13.3333333333334
13,13.4000000000001
18,20.5
16,19.5941176470586
18,19.5941176470586
18,25.0789473684211
23,22.1142857142857
26,26
11,14.7045454545456
12,11.9999999999998
13,14.5
12,13.4999999999999
18,19.5941176470586
20,25.0789473684211
21,21.9833333333334
22,22
18,24.355
19,23.4666666666667
21,21.0000000000003
26,24.355
15,15.4571428571428
16,16
29,29
24,29.0357142857143
20,20
19,19.6666666666668
15,14.7045454545456
24,19.8333333333333
20,19.9999999999998
11,13.4999999999999
20,22.1142857142857
21,27.9999999999999
19,19.5941176470586
15,19.5941176470586
31,33.5916666666667
26,28.6
32,35.48
25,29.0357142857143
16,19.5941176470586
16,19.8333333333333
18,20.5
16,16.3428571428571
13,14.7045454545456
14,14.7045454545456
14,16.3428571428571
14,14.7045454545456
29,28.125
26,33.5916666666667
26,26.8
31,34.2000000000001
32,32.0000000000001
28,29.0357142857143
24,29.0357142857143
26,29.0357142857143
24,22.1222222222222
26,26
31,33.5916666666667
19,22.1142857142857
18,20.5
15,21.9833333333334
15,21.9833333333334
16,14.5
15,15.4571428571428
16,14.7045454545456
14,14.0000000000001
17,19.8333333333333
16,20.5
15,19.8333333333333
18,22.1142857142857
21,19.8333333333333
20,19.8333333333333
13,15.2999999999999
29,29.0357142857143
23,28.125
20,19.5941176470586
23,26.8
24,27.1666666666667
25,29.02
24,22.1222222222222
18,22.1222222222222
29,32.475
19,24.355
23,22.1142857142857
23,25.0789473684211
22,20.25
25,24.7399999999999
33,33
28,24.2
25,24.5
25,27.6333333333333
26,27
27,28.125
17.5,16.3428571428571
16,14.7045454545456
15.5,18.575
14.5,14.5
22,19.5941176470586
22,20.5
24,24.5
22.5,24.355
29,34.2000000000001
24.5,32.16
29,32.475
33,33
20,19.5941176470586
18,26.8
18.5,19.8333333333333
17.5,22.1142857142857
29.5,29.02
32,32.475
28,29.0357142857143
26.5,21.9833333333334
20,20.0000000000001
13,14.7045454545456
19,25.0789473684211
19,18.9999999999997
16.5,18.575
16.5,13.4999999999999
13,15.4571428571428
13,15.1999999999999
13,14.7045454545456
31.5,32.1833333333333
30,28.6
36,37.55
25.5,27.1666666666667
33.5,32.475
17.5,15.4571428571428
17,19.8333333333333
15.5,15.4571428571428
15,15.1999999999999
17.5,19.8333333333333
20.5,20.5
19,19.5941176470586
18.5,20.25
16,13.4999999999999
15.5,14.5
15.5,14.5000000000001
16,16
29,26.8
24.5,25.0789473684211
26,29.0357142857143
25.5,25.5
30.5,34.4
33.5,28.125
30,33.5916666666667
30.5,26.8
22,22.1222222222222
21.5,19.8333333333333
21.5,19.8333333333333
43.1,43.6
36.1,36.0999999999999
32.8,34.2000000000001
39.4,32.475
36.1,32.16
19.9,19.8333333333333
19.4,16.3428571428571
20.2,19.1500000000001
19.2,20.5
20.5,22.1142857142857
20.2,23.4666666666667
25.1,25.0789473684211
20.5,19.5941176470586
19.4,24.355
20.6,20.5
20.8,23.4666666666667
18.6,19.8333333333333
18.1,18.575
19.2,15.4571428571428
17.7,14.9250000000003
18.1,19.1500000000001
17.5,16.3428571428571
30,32.1833333333333
27.5,22.1142857142857
27.2,22.1222222222222
30.9,29.0357142857143
21.1,22.1142857142857
23.2,20.5
23.8,23.4666666666667
23.9,22.1222222222222
20.3,20.2999999999998
17,19.7333333333334
21.6,24.7399999999999
16.2,16.2000000000001
31.5,29.02
29.5,32.1833333333333
21.5,24.7399999999999
19.8,23.4666666666667
22.3,25.0789473684211
20.2,24.355
20.6,19.8333333333333
17,15.1999999999999
17.6,15.2999999999999
16.5,16.5
18.2,18.2
16.9,14.95
15.5,15.5
19.2,19.7333333333334
18.5,14.7045454545456
31.9,29.02
34.1,35.48
35.7,28.6
27.4,28.6
25.4,25.4
23,19.7333333333334
27.2,29.02
23.9,24.355
34.2,32.475
34.5,32.475
31.8,35.48
37.3,32.7666666666667
28.4,24.355
28.8,24.7399999999999
26.8,24.7399999999999
33.5,24.355
41.5,31.05
38.1,32.16
32.1,32.475
37.2,35.48
28,24.355
26.4,25.0789473684211
24.3,24.355
19.1,24.355
34.3,26.8
29.8,24.355
31.3,29.0357142857143
37,27.6333333333333
32.2,29.0357142857143
46.6,35.48
27.9,20.5
40.8,35.48
44.3,43.6
43.4,43.6
36.4,33.5916666666667
30,33.5916666666667
44.6,33.5916666666667
40.9,27.9999999999999
33.8,33.5916666666667
29.8,33.75
32.7,32.7
23.7,19.5941176470586
35,25.0789473684211
23.6,27.9999999999999
32.4,21.9833333333334
27.2,30.1333333333333
26.6,30.1333333333333
25.8,27.6333333333333
23.5,19.8333333333333
30,30.1333333333333
39.1,37.55
39,39
35.1,32.16
32.3,33.5916666666667
37,35.48
37.7,33.75
34.1,32.1833333333333
34.7,34.4
34.4,35.48
29.9,35.48
33,33.5333333333333
34.5,27.9999999999999
33.7,29.0357142857143
32.4,29.0357142857143
32.9,19.5941176470586
31.6,33.5333333333333
28.1,28.6
30.7,31.05
25.4,25.4000000000001
24.2,18.575
22.4,19.8333333333333
26.6,20.5
20.2,25.0789473684211
17.6,23.4666666666667
28,25.0789473684211
27,25.0789473684211
34,25.0789473684211
31,23.4666666666667
29,30.1333333333333
27,24.355
24,27.6333333333333
23,27.9999999999999
36,33.5333333333333
37,32.1833333333333
31,32.1833333333333
38,34.4
36,32.475
36,25.0789473684211
36,29.0357142857143
34,32.475
38,33.5916666666667
32,33.5916666666667
38,33.5916666666667
25,19.8333333333333
38,23.4666666666667
26,27.6333333333333
22,19.6666666666668
32,27.1666666666667
36,30.1333333333333
27,24.355
27,24.2
44,34.2000000000001
32,30.1333333333333
28,27
31,31
